system,temperature,species,formula,n_atoms_species,production_ps,window,D_self_cm2s,D_self_cm2s_stat,D_coll_cm2s,D_coll_cm2s_stat,D_dist_cm2s,f,f_err,f_sys,f_stat,f_sign_stable,f_window_min,f_window_max,f_matched,match_window_ps,L_self,L_coll,L_dist,slope_MSD_self_A2ps,slope_MSD_coll_A2ps,slope_C_dist_A2ps,sigma_NE_mScm,sigma_true_mScm,haven_ratio,error,volume_A3
Al-K-Li-P,1000,Al,Al17K34Li17P34,17.0,17.2,"[0.2, 0.6]",2.8649926700089154e-06,9.720168227896179e-07,6.008096015926394e-06,2.962392466030265e-07,3.1431033459174783e-06,1.0970720375028735,8.661592167883672,0.23519829502790757,8.658398272472786,1.0,0.6974748906999542,1.1678714807557693,0.9481116297678727,"[1.43, 3.44]",3.253279633207123e-10,6.822361748976262e-10,3.569082115769139e-10,2.9222925234090935,6.128257936244921,3.2059654128358277,30.286144254297003,63.51222623946455,0.4768553402632597,,2989.9639685698107
Al-K-Li-P,1000,K,Al17K34Li17P34,34.0,17.2,"[0.2, 0.6]",4.191444807546584e-05,2.0076779444751678e-05,9.764089168466983e-06,1.1763650764911353e-05,-3.2150358906998856e-05,-0.7670471730681744,0.4787405477049019,0.3613239119911702,0.31406614373438363,1.0,-1.104101307898548,-0.3814534839162076,-0.3951161112819641,"[1.43, 3.44]",9.519006571183037e-09,2.217479490339712e-09,-7.3015270808433255e-09,85.50547407395031,19.918741903672643,-65.58673217027767,886.1642363286393,206.43446397863883,4.292714594498797,,2989.9639685698107
Al-K-Li-P,1000,Li,Al17K34Li17P34,17.0,17.2,"[0.2, 0.6]",1.093710606396725e-05,4.042351273016565e-06,-5.493538330828872e-06,8.207858823693659e-06,-1.643064439479612e-05,-1.5022844524592809,1.626085229334686,1.3716985940880115,0.8732675077188035,0.0,-2.616652399794572,0.1267447883814512,0.192065580167055,"[1.43, 3.44]",1.2419391077890628e-09,-6.238067047435973e-10,-1.8657458125326598e-09,11.155848185246594,-5.603409097445448,-16.75925728269204,115.61731918037604,-58.07278185932512,-1.9909037500639493,,2989.9639685698107
Al-K-Li-P,1000,P,Al17K34Li17P34,34.0,17.2,"[0.2, 0.6]",8.203258735588607e-06,2.4880817788623754e-06,7.181778348566717e-06,1.2658979621897712e-05,-1.0214803870218903e-06,-0.12452129329900943,2.5854004691526917,1.6747928840075579,1.9696102105677167,0.0,-1.697953888670438,1.651631879344678,1.6810801215041695,"[1.43, 3.44]",1.863006132601085e-09,1.6310221995456122e-09,-2.3198393305547257e-10,16.734647820600756,14.650827831076104,-2.0838199895246525,173.43505274698344,151.83869567554714,1.1422322351713554,,2989.9639685698107
Al-K-Li-P,1500,Al,Al17K34Li17P34,17.0,23.3,"[0.2, 0.6]",1.2615913134101273e-05,6.715999974182217e-06,7.583142863870095e-06,5.307951379322622e-06,-5.0327702702311784e-06,-0.398922394022151,0.4043415917031553,0.255029779246472,0.31377051244267185,1.0,-0.517810111715858,-0.007750553222913958,0.049299128271043546,"[1.94, 4.66]",9.158394843564096e-10,5.504906047169383e-10,-3.653488796394714e-10,12.8682313967833,7.734805721147496,-5.133425675635803,85.25933785057228,51.247478682478594,1.6636786831763155,,3117.969780560179
Al-K-Li-P,1500,K,Al17K34Li17P34,34.0,23.3,"[0.2, 0.6]",9.135719746515438e-05,2.0462083021605102e-05,8.065389058238256e-06,1.3093843865313039e-05,-8.329180840691611e-05,-0.9117158879428785,0.30152602656767935,0.07568576346114342,0.2918725919078335,1.0,-0.9583554992362973,-0.8069839723140104,-0.6577650447948388,"[1.94, 4.66]",1.3263967138862838e-08,1.1709975612093425e-09,-1.2092969577653495e-08,186.36868282891493,16.45339367880604,-169.9152891501089,1234.7983187533125,109.01307314076254,11.327066407520553,,3117.969780560179
Al-K-Li-P,1500,Li,Al17K34Li17P34,17.0,23.3,"[0.2, 0.6]",6.16527877826585e-05,1.2713038987927384e-05,4.098208081281827e-05,3.868891452729201e-05,-2.0670706969840224e-05,-0.3352761118071358,0.5633365902406321,0.11921994609710868,0.5505767143246655,1.0,-0.41900561640640077,-0.18056572421218342,-0.36682778306359853,"[1.94, 4.66]",4.475621920650413e-09,2.975052805175957e-09,-1.5005691154744553e-09,62.88584353831166,41.80172242907464,-21.084121109237024,416.6544115449614,276.9601404748766,1.5043840273570221,,3117.969780560179
Al-K-Li-P,1500,P,Al17K34Li17P34,34.0,23.3,"[0.2, 0.6]",1.5069457176058665e-05,3.411976496905538e-06,8.647232174063658e-06,1.1998920150190017e-05,-6.4222250019950075e-06,-0.42617493961217157,0.6000746606121691,0.45376798261474266,0.3926629805094396,0.0,-0.6722902528933649,0.23524571233612046,-0.2117908800777023,"[1.94, 4.66]",2.1879040768515453e-09,1.2554741890221138e-09,-9.324298878294315e-10,30.741692639159677,17.64035363508986,-13.101339004069818,203.68116472289637,116.87735664697925,1.7426914037601193,,3117.969780560179
Al-K-Li-P,2000,Al,Al17K34Li17P34,17.0,0.2,"[0.2, 0.6]",0.00011908730384276457,1.6568144853420043e-06,0.00013688142057758092,5.565786736801705e-05,1.7794116734816352e-05,0.14942077081794203,0.7677508047505286,0.6509209740402149,0.40711568841009094,0.0,-0.5389340327267161,0.7629079153537137,0.39721201741462897,"[0.02, 0.05]",6.220088036546577e-09,7.149498385522827e-09,9.294103489762505e-10,121.46904991961985,139.61904898913255,18.149999069512702,579.0540770808775,665.5767836235742,0.8700034185813326,,3250.1452455726712
Al-K-Li-P,2000,K,Al17K34Li17P34,34.0,0.2,"[0.2, 0.6]",0.0002374301925535824,1.4273038045560775e-05,0.0002164278985768866,6.578457879494564e-05,-2.1002293976695797e-05,-0.08845671121610228,0.5040739460698513,0.0739556304388227,0.49861920122757775,1.0,-0.22464865027646208,-0.07673738939881669,-0.25749283011419,"[0.02, 0.05]",2.48025885642253e-08,2.2608633150187825e-08,-2.1939554140374754e-09,484.3575928093081,441.5129130968487,-42.84467971245937,2308.976970404439,2104.7324613287424,1.097040603890698,,3250.1452455726712
Al-K-Li-P,2000,Li,Al17K34Li17P34,17.0,0.2,"[0.2, 0.6]",0.00017070423245109641,0.0001037128569271353,2.0371744996060416e-05,0.00017509848303326003,-0.000150332487455036,-0.8806605747054542,0.8219538468835477,0.7263562698457686,0.3847267805370502,1.0,-1.756120821266225,-0.3034082815746878,-0.24175113985461105,"[0.02, 0.05]",8.916108768898312e-09,1.0640432963439856e-09,-7.852065472554327e-09,174.11831710011833,20.779179895981624,-153.3391372041367,830.0379518733635,99.05625214922914,8.37946049708103,,3250.1452455726712
Al-K-Li-P,2000,P,Al17K34Li17P34,34.0,0.2,"[0.2, 0.6]",0.00012127595145737249,1.9499930479338088e-05,0.00013460016374875833,3.405469929012156e-05,1.3324212291385842e-05,0.10986689554910806,0.4280518734887464,0.2767491969290702,0.32655518430479785,0.0,-0.38151208750483745,0.17198630635330292,-0.39135349842631606,"[0.02, 0.05]",1.266880801629028e-08,1.4060690623347748e-08,1.3918826070574673e-09,247.40294097303988,274.584334047467,27.18139307442712,1179.3924604418835,1308.9686487046574,0.9010089444151307,,3250.1452455726712
Al-K-Li-P,2500,Al,Al17K34Li17P34,17.0,26.3,"[0.2, 0.6]",0.0002168187608992494,1.717787868678178e-05,0.00021848405007655094,0.00011083120792770122,1.6652891773015488e-06,0.007680558501463671,0.7220895085692538,0.4192484561184383,0.5879149516963251,0.0,-0.32306200616306513,0.5154349060738115,-0.3161563213646942,"[2.19, 5.26]",8.599068478953109e-09,8.665114127463801e-09,6.604564851069128e-11,221.15513611723438,222.85373107808195,1.698594960847572,800.523341885046,806.6718082441811,0.9923779828471777,,3424.2800522336333
Al-K-Li-P,2500,K,Al17K34Li17P34,34.0,26.3,"[0.2, 0.6]",0.0003224131614859308,3.775336256568294e-05,0.00013440261199601636,7.73869574960931e-05,-0.00018801054948991446,-0.5831354669995961,0.2674983452568946,0.20344891661013997,0.1736775836005818,1.0,-0.6560305663867199,-0.2491327331664399,-0.5817899946944991,"[2.19, 5.26]",2.557392028839774e-08,1.0660860338012478e-08,-1.4913059950385262e-08,657.7228494312989,274.18132847187337,-383.5415209594255,2380.7834749168496,992.4641914462914,2.3988608308853925,,3424.2800522336333
Al-K-Li-P,2500,Li,Al17K34Li17P34,17.0,26.3,"[0.2, 0.6]",0.000323820278612489,7.41571467563175e-05,0.00017364262827709504,0.0001804301175902037,-0.00015017765033539394,-0.4637685168417428,0.38261505298313203,0.17231875480464615,0.3416145862106318,1.0,-0.6592645786811954,-0.3146270690719031,-0.4560302818823917,"[2.19, 5.26]",1.2842766645808774e-08,6.886695806337434e-09,-5.95607083947134e-09,330.29668418473875,177.1154808426369,-153.18120334210184,1195.5869986982923,641.1113895567148,1.8648662590832465,,3424.2800522336333
Al-K-Li-P,2500,P,Al17K34Li17P34,34.0,26.3,"[0.2, 0.6]",0.00018593232587308555,5.764396520378302e-06,1.4190062340909785e-05,3.689826697795909e-05,-0.00017174226353217577,-0.9236815746036776,0.4686132775982674,0.4328913372876601,0.1794533199544998,1.0,-1.1123471282118715,-0.24656445363655133,-0.3441862708196046,"[2.19, 5.26]",1.474821455488931e-08,1.125560512236276e-09,-1.3622654042653033e-08,379.3019447810945,28.94772717545596,-350.35421760563855,1372.9731343824599,104.7831477275227,13.102995702636543,,3424.2800522336333
As-Li-O,1000,As,As20Li20O60,20.0,21.9,"[0.2, 0.6]",9.554006169162032e-07,2.907163457348942e-07,1.6979466800504718e-07,2.3305341728160134e-07,-7.85605948911156e-07,-0.8222790890034147,0.1697084082989994,0.06574103849943158,0.15645785280514413,1.0,-0.8571138610505025,-0.7256317840516393,-0.7399561744574119,"[1.83, 4.39]",3.2975948085992556e-10,5.860515534818698e-11,-2.7115432551173857e-10,1.146480740299444,0.2037536016060566,-0.9427271386933873,30.698692804037712,5.455799651537898,5.626799876235241,,1157.2658426496928
As-Li-O,1000,Li,As20Li20O60,20.0,21.9,"[0.2, 0.6]",6.502067852269884e-06,4.2769911635093795e-06,5.345997127296799e-06,2.0708451387559223e-05,-1.156070724973085e-06,-0.17780047074862476,2.994701822406513,2.7735982277227267,1.1293324914737208,0.0,-3.9136535843777187,1.6335428710677342,0.8947391488311078,"[1.83, 4.39]",2.244208849687801e-09,1.8451874597550803e-09,-3.9902138993272087e-10,7.8024814227238615,6.415196552756159,-1.3872848699677025,208.92281212055093,171.7762377753905,1.2162497841740614,,1157.2658426496928
As-Li-O,1000,O,As20Li20O60,60.0,21.9,"[0.2, 0.6]",1.025304074793784e-06,5.959636417236025e-07,1.7725119481052082e-06,1.4521748532521801e-06,7.472078733114243e-07,0.7287670962018831,0.8198771607739054,0.5008441027703598,0.6491176653572398,0.0,-0.09919456505762225,0.9024936404830974,-0.0041769721624952405,"[1.83, 4.39]",1.061660627304846e-09,1.8353639598176683e-09,7.737033325128224e-10,3.6910946692576214,6.381043013178749,2.6899483439211274,98.83443949748826,170.86172697481345,0.5784469187301222,,1157.2658426496928
As-Li-O,1500,As,As20Li20O60,20.0,32.1,"[0.2, 0.6]",4.213779204860825e-06,2.368354681316794e-06,1.9718918942025118e-06,6.957377123810451e-07,-2.241887310658313e-06,-0.5320372050040433,0.2492377088715369,0.22689720616338083,0.10313628536448866,1.0,-0.6776945926747178,-0.2239001803479561,-0.7284214668579658,"[2.68, 6.43]",9.24790341130818e-10,4.327674728208418e-10,-4.920228683099761e-10,5.05653504583299,2.366270273043014,-2.690264772789976,86.09261063998218,40.288138703584714,2.1369220175049177,,1213.3389506175447
As-Li-O,1500,Li,As20Li20O60,20.0,32.1,"[0.2, 0.6]",8.155546054033386e-05,4.766682122615702e-06,1.3618283540153978e-05,5.322775493945906e-05,-6.793717700017988e-05,-0.83301812717471,1.0447658266165545,0.7911503265699084,0.6823611897185388,0.0,-1.156862906966736,0.4254377461730807,0.4552899171746265,"[2.68, 6.43]",1.7898826328435346e-08,2.9887795416967424e-09,-1.4910046786738605e-08,97.86655264840061,16.341940248184773,-81.52461240021584,1666.2767953679004,278.23801993585437,5.988673998442224,,1213.3389506175447
As-Li-O,1500,O,As20Li20O60,60.0,32.1,"[0.2, 0.6]",7.3129993958663645e-06,3.9794214174236155e-07,1.0532819028624486e-05,2.560207446313953e-06,3.2198196327581217e-06,0.4402871460071648,0.6254760965167235,0.5474916395200449,0.30244545288274854,0.0,-0.2143049968175048,0.8806782822225849,-0.36020252058804103,"[2.68, 6.43]",4.814911420744048e-09,6.934855028460747e-09,2.1199436077166992e-09,26.32679782511891,37.918148503048144,11.591350677929235,448.2402938002604,645.5947334829899,0.6943059950040167,,1213.3389506175447
As-Li-O,2000,As,As20Li20O60,20.0,31.8,"[0.2, 0.6]",2.5483342452714376e-05,4.9962546632188245e-06,2.6205949218681737e-07,9.41595862811589e-07,-2.522128296052756e-05,-0.9897164395654502,0.04610824915102202,0.019156881302542728,0.041940249624114204,1.0,-1.003817980494314,-0.9655042178892285,-0.9463424178250363,"[2.65, 6.36]",4.105631416112756e-09,4.222050878958189e-11,-4.063410907323174e-09,30.58001094325725,0.31447139062418084,-30.26553955263307,382.2104440520689,3.9304842001255738,97.24258503312588,,1239.6279081323707
As-Li-O,2000,Li,As20Li20O60,20.0,31.8,"[0.2, 0.6]",0.00011523140627654429,1.6891245459523334e-05,0.0001083069642516461,3.473913802322677e-05,-6.924442024898187e-06,-0.06009162127450039,0.29321823618388093,0.2264639459130166,0.1862552421605697,0.0,-0.3116877717223058,0.14124012010372744,-0.27969672999739914,"[2.65, 6.36]",1.8564977597020073e-08,1.7449377994290357e-08,-1.1155996027297155e-09,138.27768753185316,129.96835710197533,-8.309330429877832,1728.2916102322802,1624.4357653383056,1.0639334882363574,,1239.6279081323707
As-Li-O,2000,O,As20Li20O60,60.0,31.8,"[0.2, 0.6]",3.848300569433169e-05,7.008755162884145e-06,2.1742114270496843e-06,5.3062728920444835e-06,-3.6308794267282e-05,-0.9435020371246643,0.2602710418952914,0.10223667826188426,0.23935053137028228,1.0,-1.061753999688404,-0.8572806431646355,-0.747627971099559,"[2.65, 6.36]",1.8600036960410398e-08,1.0508641976691388e-09,-1.754917276274126e-08,138.53882049959407,7.827161137378863,-130.71165936221522,1731.5554333794364,97.82935459165724,17.699753214226984,,1239.6279081323707
As-Li-O,2500,As,As20Li20O60,20.0,31.8,"[0.2, 0.6]",5.600401842296195e-05,1.0008308521134075e-05,-1.0720921757264202e-07,2.078792714581954e-06,-5.611122764053459e-05,-1.0019143129473846,0.05118927467272859,0.039193745101728905,0.03292707376036859,1.0,-1.0068087797997256,-0.9284212895962678,-0.922489658192465,"[2.65, 6.36]",7.025546516719025e-09,-1.3449094659408042e-11,-7.038995611378432e-09,67.20482210755434,-0.12865106108717042,-67.3334731686415,654.0375844079175,-1.252032615908228,-522.3806281863326,,1273.6320397004279
As-Li-O,2500,Li,As20Li20O60,20.0,31.8,"[0.2, 0.6]",0.000316289923407511,3.975681686766994e-05,0.00015102101488735872,9.207256591502228e-05,-0.0001652689085201523,-0.5225234706804688,0.4145438892805501,0.16374248279822495,0.380834656336471,1.0,-0.8156659834828548,-0.4881810178864049,-0.35248303536095427,"[2.65, 6.36]",3.9677680856520276e-08,1.8945161346819308e-08,-2.0732519509700968e-08,379.5479080890132,181.22521786483048,-198.32269022418274,3693.7616853793083,1763.6845096683742,2.0943437815155765,,1273.6320397004279
As-Li-O,2500,O,As20Li20O60,60.0,31.8,"[0.2, 0.6]",8.950050358480787e-05,4.4931077313000195e-06,-2.608752627611076e-07,8.297483471379874e-06,-8.976137884756898e-05,-1.0029147910046552,0.23369880015826353,0.2033814725755776,0.1151134475567541,1.0,-1.0725319272061091,-0.6657689820549539,-0.5302132031655911,"[2.65, 6.36]",3.3682758965044456e-08,-9.817820284328055e-11,-3.378093716788774e-08,322.2018129053083,-0.9391509459399873,-323.14096385124833,3135.6692688983658,-9.139820578558673,-343.07777072280913,,1273.6320397004279
Bi-Li-S,1000,Bi,Bi15Li45S45,15.0,32.9,"[0.2, 0.6]",4.4601334950851335e-06,5.988130890568144e-06,1.0570933644320381e-06,1.0153050453087776e-06,-3.4030401306530954e-06,-0.7629906446529219,0.46825824684590994,0.06126617256435818,0.46423296074117726,1.0,-0.8679119794920649,-0.7453796343633485,-0.8939620905611393,"[2.74, 6.58]",5.9152416902301e-10,1.401967619723597e-10,-4.513274070506503e-10,4.01412014557662,0.9513840279888344,-3.062736117587786,55.06746524359858,13.051504437982935,4.219242732151197,,2258.819535778863
Bi-Li-S,1000,Li,Bi15Li45S45,45.0,32.9,"[0.2, 0.6]",5.60455703165605e-05,1.7848975331360068e-05,9.801738671826377e-05,4.855172836787354e-05,4.197181640170327e-05,0.7488873101769707,0.7569849058691283,0.3422986397773323,0.6751724142174953,1.0,0.18754195754247704,0.8721392370971417,0.08698023381063646,"[2.74, 6.58]",2.2299092243846386e-08,3.8998599453728655e-08,1.6699507209882266e-08,151.32303985471336,264.64694413931215,113.3239042845988,2075.9160004061355,3630.543150103621,0.5717921298764581,,2258.819535778863
Bi-Li-S,1000,S,Bi15Li45S45,45.0,32.9,"[0.2, 0.6]",7.825396834544938e-06,1.3201105620750273e-06,1.1498623382770148e-05,1.1198950003131332e-05,3.673226548225211e-06,0.46939811818997884,1.272888200303921,0.2966520030883139,1.237837614364924,0.0,-0.054810252386071956,0.5384937537905559,0.31128893615716335,"[2.74, 6.58]",3.113524313743303e-09,4.575006767553155e-09,1.4614824538098516e-09,21.12857145327133,31.0462831334794,9.917711680208068,289.85103383914145,425.9065636786544,0.6805507558644565,,2258.819535778863
Bi-Li-S,1500,Bi,Bi15Li45S45,15.0,32.9,"[0.2, 0.6]",2.1014292250901118e-05,3.6873117882683585e-06,3.2917632418344045e-06,7.070895204630725e-07,-1.7722529009066713e-05,-0.8433559787533054,0.06483070492601843,0.05874233744231078,0.027429146778894978,1.0,-0.8927177860782881,-0.7752331111936666,-0.9014726625487759,"[2.74, 6.57]",1.7922651875036383e-09,2.8074762611103095e-10,-1.5115175613926074e-09,18.912863025811006,2.9625869176509636,-15.950276108160043,166.8494815405068,26.135973731431125,6.383901485937506,,2341.679268881267
Bi-Li-S,1500,Li,Bi15Li45S45,45.0,32.9,"[0.2, 0.6]",0.00015947623176092426,1.453641565431944e-05,0.0003256221801935162,7.133652016874033e-05,0.00016614594843259196,1.0418226377562425,0.7284882458153767,0.38274098463336015,0.6198422887905042,1.0,0.6222368987945244,1.3877188680612447,0.454992486704459,"[2.74, 6.57]",4.080418626619844e-08,8.331491123354634e-08,4.2510724967347897e-08,430.5858257544955,879.1798865224937,448.5940607679982,3798.632797571792,7756.134438605411,0.48975850375471364,,2341.679268881267
Bi-Li-S,1500,S,Bi15Li45S45,45.0,32.9,"[0.2, 0.6]",3.2593371382476256e-05,4.0724345827903915e-06,1.8164037130288526e-05,5.408106957133144e-06,-1.442933425218773e-05,-0.44270763164885807,0.29326065599011913,0.24626184073300628,0.1592385573614206,1.0,-0.5175934615681786,-0.025069780102166095,-0.05707287981206166,"[2.74, 6.57]",8.339462139585203e-09,4.647518606544119e-09,-3.6919435330410834e-09,88.00210273268588,49.04290025177902,-38.95920248090687,776.355499185107,432.65699482330126,1.7943902640524125,,2341.679268881267
