system,temperature,element,identifier,formula,D_reported_cm2s,D_table_einstein_cm2s,D_table_mpconv_cm2s,msd_tmax_ps
Ag-Li-Si,2500.0,Ag,LiSiAg-2500K,LiSiAg,0.000644627,0.0001659550517370094,0.0004978651552110283,39.9
Ag-Li-Si,2500.0,Si,LiSiAg-2500K,LiSiAg,0.000706192,0.00019760603186108562,0.0005928180955832569,39.9
Ag-Li-Sn,1000.0,Li,Li12Ag3Sn-1000K,Li12Ag3Sn,0.000259443,9.133300011326378e-05,0.0002739990003397914,35.7
Ag-Li-Sn,1000.0,Ag,Li12Ag3Sn-1000K,Li12Ag3Sn,0.000116737,3.9984756783838574e-05,0.00011995427035151572,35.7
Ag-Li-Sn,1000.0,Sn,Li12Ag3Sn-1000K,Li12Ag3Sn,5.18136e-05,1.7929215937951836e-05,5.3787647813855515e-05,35.7
Ag-Li-Sn,1500.0,Li,Li12Ag3Sn-1500K,Li12Ag3Sn,0.000656922,0.00021043943839845999,0.00063131831519538,33.3
Ag-Li-Sn,1500.0,Ag,Li12Ag3Sn-1500K,Li12Ag3Sn,0.000361631,0.00010586379814495367,0.000317591394434861,33.3
Ag-Li-Sn,1500.0,Sn,Li12Ag3Sn-1500K,Li12Ag3Sn,0.000170099,4.793407500187506e-05,0.00014380222500562516,33.3
Ag-Li-Sn,2000.0,Li,Li12Ag3Sn-2000K,Li12Ag3Sn,0.00110529,0.0003155288107568479,0.0009465864322705438,31.2
Ag-Li-Sn,2000.0,Ag,Li12Ag3Sn-2000K,Li12Ag3Sn,0.000686965,0.00020978561997707306,0.0006293568599312191,31.2
Ag-Li-Sn,2000.0,Sn,Li12Ag3Sn-2000K,Li12Ag3Sn,0.000485318,0.00016124980232499813,0.0004837494069749944,31.2
Ag-Li-Sn,2500.0,Li,Li12Ag3Sn-2500K,Li12Ag3Sn,0.0017062,0.0005839730366299877,0.001751919109889963,32.0
Ag-Li-Sn,2500.0,Ag,Li12Ag3Sn-2500K,Li12Ag3Sn,0.0010044,0.00036988851061864575,0.0011096655318559372,32.0
Ag-Li-Sn,2500.0,Sn,Li12Ag3Sn-2500K,Li12Ag3Sn,0.000930509,0.00040162240459688754,0.0012048672137906628,32.0
Al-F-K-Li,2500.0,Li,mp-556996,K2LiAlF6,0.00059928,0.00011545194151715004,0.00034635582455145014,26.9
Al-F-K-Li,2500.0,Al,mp-556996,K2LiAlF6,0.000169758,9.151508976173776e-05,0.0002745452692852133,26.9
Al-F-K-Li,2500.0,F,mp-556996,K2LiAlF6,0.000330747,0.00010932817494424147,0.0003279845248327244,26.9
Al-F-K-Li,2500.0,K,mp-556996,K2LiAlF6,0.000300232,0.00010805347062567656,0.0003241604118770297,26.9
Al-F-K-Li,2000.0,Li,mp-556996,K2LiAlF6,0.000241679,6.337743295275752e-05,0.00019013229885827258,32.1
Al-F-K-Li,2000.0,Al,mp-556996,K2LiAlF6,6.7696e-05,2.598908778506453e-05,7.796726335519359e-05,32.1
Al-F-K-Li,2000.0,F,mp-556996,K2LiAlF6,0.000146214,4.9432921928265944e-05,0.00014829876578479785,32.1
Al-F-K-Li,2000.0,K,mp-556996,K2LiAlF6,0.000166922,4.0167145734996265e-05,0.00012050143720498878,32.1
Al-F-K-Li,1500.0,Li,mp-556996,K2LiAlF6,8.53611e-05,2.4750249938426684e-05,7.425074981528006e-05,33.4
Al-F-K-Li,1500.0,Al,mp-556996,K2LiAlF6,6.40395e-06,3.717394192404316e-06,1.1152182577212949e-05,33.4
Al-F-K-Li,1500.0,F,mp-556996,K2LiAlF6,1.99041e-05,6.237422077730163e-06,1.871226623319049e-05,33.4
Al-F-K-Li,1500.0,K,mp-556996,K2LiAlF6,1.5685e-05,5.5578411925520926e-06,1.667352357765628e-05,33.4
Al-F-K-Li,1000.0,Li,mp-556996,K2LiAlF6,2.66967e-05,1.2504098180567433e-05,3.7512294541702297e-05,33.9
Al-F-K-Li,1000.0,Al,mp-556996,K2LiAlF6,,2.42108702438082e-07,7.263261073142459e-07,33.9
Al-F-K-Li,1000.0,F,mp-556996,K2LiAlF6,7.22357e-06,1.7187693598886143e-06,5.156308079665843e-06,33.9
Al-F-K-Li,1000.0,K,mp-556996,K2LiAlF6,1.57359e-05,4.4409767841535255e-06,1.3322930352460578e-05,33.9
Al-K-Li-P,1000.0,Li,mp-6450,K2LiAlP2,4.04569e-05,9.274004001485242e-06,2.7822012004455727e-05,17.1
Al-K-Li-P,1000.0,Al,mp-6450,K2LiAlP2,6.97118e-06,2.8894816521629314e-06,8.668444956488795e-06,17.1
Al-K-Li-P,1000.0,K,mp-6450,K2LiAlP2,0.000124813,4.1315628334963703e-05,0.00012394688500489112,17.1
Al-K-Li-P,1000.0,P,mp-6450,K2LiAlP2,2.37583e-05,7.146696409218305e-06,2.1440089227654916e-05,17.1
Al-K-Li-P,2500.0,Li,mp-6450,K2LiAlP2,0.0011938,0.00034975574457792475,0.0010492672337337743,26.3
Al-K-Li-P,2500.0,Al,mp-6450,K2LiAlP2,0.000626359,0.00021295496324433586,0.0006388648897330076,26.3
Al-K-Li-P,2500.0,K,mp-6450,K2LiAlP2,0.000915397,0.0002928295015863986,0.0008784885047591957,26.3
Al-K-Li-P,2500.0,P,mp-6450,K2LiAlP2,0.000572959,0.00018584157933488403,0.0005575247380046521,26.3
Al-K-Li-P,2000.0,Li,mp-6450,K2LiAlP2,0.000630773,0.0003006924172465583,0.0009020772517396749,27.7
Al-K-Li-P,2000.0,Al,mp-6450,K2LiAlP2,0.000236926,6.34419866728755e-05,0.0001903259600186265,27.7
Al-K-Li-P,2000.0,K,mp-6450,K2LiAlP2,0.000579851,0.00018837798381331536,0.000565133951439946,27.7
Al-K-Li-P,2000.0,P,mp-6450,K2LiAlP2,0.000248749,8.906807145839754e-05,0.0002672042143751926,27.7
Al-K-Li-P,1500.0,Li,mp-6450,K2LiAlP2,0.000179077,6.725103696981627e-05,0.00020175311090944883,23.3
Al-K-Li-P,1500.0,Al,mp-6450,K2LiAlP2,4.28572e-05,1.2203011013681462e-05,3.660903304104439e-05,23.3
Al-K-Li-P,1500.0,K,mp-6450,K2LiAlP2,0.000248006,8.88798065498969e-05,0.0002666394196496907,23.3
Al-K-Li-P,1500.0,P,mp-6450,K2LiAlP2,6.60073e-05,1.4865181969925587e-05,4.459554590977676e-05,23.3
Al-Li-Na-P,2000.0,Li,mp-9719,Na2LiAlP2,0.000679453,0.00036195270411234,0.00108585811233702,39.9
Al-Li-Na-P,2000.0,Al,mp-9719,Na2LiAlP2,0.000238081,8.001239558557155e-05,0.00024003718675671466,39.9
Al-Li-Na-P,2000.0,Na,mp-9719,Na2LiAlP2,0.00066417,0.0001870171831686893,0.000561051549506068,39.9
Al-Li-Na-P,2000.0,P,mp-9719,Na2LiAlP2,0.000223752,5.9061942308026194e-05,0.0001771858269240786,39.9
Al-Li-Na-P,2500.0,Li,mp-9719,Na2LiAlP2,0.00117334,0.00039424930545554096,0.0011827479163666228,34.5
Al-Li-Na-P,2500.0,Al,mp-9719,Na2LiAlP2,0.00059444,0.00017992136317629735,0.0005397640895288921,34.5
