system,formula,anion_class,n_Li,natoms,n_conv_T,med_prod_ps,min_trun_ps,med_tlag_ps,med_beta,med_block_cv,med_Dwin_spread,charge_conv_T,med_haven,D_Li_1000K,D_Li_1500K,D_Li_2000K,D_Li_2500K,blockcv_1000K,blockcv_1500K,blockcv_2000K,blockcv_2500K,Ea_eV
Ca-Li-Si,Ca34Li51Si17,network(B/C/Si/Ge),51,102,2,32.72,10.0,1.0,0.999,0.14500000000000002,0.11549999999999999,1,0.815,5.208e-05,0.0001861,0.0003237,0.000424,0.221,0.166,0.124,0.079,0.305
Li-Os,Li80Os20,metallic,80,100,3,31.869999999999997,15.0,1.0,1.0495,0.14150000000000001,0.089,0,0.595,5.187e-05,0.0001861,0.0003573,0.0004987,0.154,0.186,0.129,0.031,0.327
Co-Li-Sn,Co7Li84Sn21,metallic,84,112,3,28.855,5.0,1.0,1.0695000000000001,0.076,0.101,3,0.39,5.113e-05,0.0001889,0.0003004,0.0004627,0.072,0.055,0.08,0.089,0.312
Li-Rh-Sn,Li81Rh9Sn18,metallic,81,108,3,30.884999999999998,20.0,1.0,1.026,0.096,0.10450000000000001,1,0.9500000000000001,5.089e-05,0.0001871,0.0003328,0.0005379,0.211,0.073,0.024,0.119,0.334
Bi-Li-S,Bi15Li45S45,chalcogenide,45,105,3,32.785,25.0,1.0,0.9575,0.11549999999999999,0.11299999999999999,1,0.7,5.008e-05,0.0001584,0.0002648,0.000397,0.138,0.126,0.07,0.105,0.294
Ga-Li-Si,Ga14Li35Si56,network(B/C/Si/Ge),35,105,3,32.010000000000005,20.0,1.0,1.031,0.1245,0.1285,2,2.43,4.95e-05,0.0001583,0.0002483,0.0003995,0.115,0.134,0.199,0.101,0.292
B-Li-Si,B30Li60Si10,network(B/C/Si/Ge),60,100,3,33.665,15.0,1.0,0.9355,0.1135,0.125,2,0.98,4.94e-05,0.0001333,0.000248,0.0004926,0.161,0.066,0.157,0.07,0.315
Li-P-Sn,Li42P27Sn36,pnictide,42,105,2,34.525000000000006,25.0,1.0,0.9365,0.1835,0.079,0,0.675,4.824e-05,0.0001484,0.0003473,0.000383,0.147,0.224,0.111,0.22,0.312
Li-Sb-Sn,Li80Sb10Sn10,pnictide,80,100,3,30.14,5.0,1.0,0.963,0.0865,0.0625,0,0.63,4.784e-05,0.0001712,0.0003376,0.0004741,0.062,0.078,0.105,0.095,0.332
Li-N,Li75N25,pnictide,75,100,4,39.584999999999994,5.0,1.0,1.0194999999999999,0.07050000000000001,0.0505,0,1.64,4.728e-05,0.0001547,0.0002786,0.0004603,0.036,0.1,0.12,0.041,0.32
Cd-Li-Si,Cd5Li75Si20,network(B/C/Si/Ge),75,100,4,36.45,5.0,1.0,1.0045,0.069,0.0905,2,0.635,4.704e-05,0.0001742,0.0003685,0.0004817,0.035,0.07,0.068,0.073,0.341
Li-S-Sb,Li50S40Sb10,chalcogenide,50,100,3,32.84,15.0,1.0,0.9255,0.172,0.124,2,0.385,4.661e-05,0.0001449,0.0003159,0.0005435,0.151,0.174,0.17,0.193,0.347
Ga-Li,Ga34Li68,metallic,68,102,3,38.644999999999996,5.0,1.0,0.98,0.1255,0.0615,1,0.78,4.352e-05,0.0001756,0.0003357,0.0004638,0.178,0.135,0.116,0.07,0.343
In-Li-Si,In4Li80Si36,network(B/C/Si/Ge),80,120,4,30.805,15.0,1.0,0.9510000000000001,0.0675,0.095,0,0.43,4.293e-05,0.0001546,0.0002867,0.0004979,0.202,0.058,0.042,0.077,0.344
Li-Mg-Sn,Li25Mg50Sn25,metallic,25,100,2,28.92,25.0,1.0,0.9590000000000001,0.1525,0.098,0,6.81,4.206e-05,0.0001463,0.0002442,0.000472,0.219,0.103,0.161,0.144,0.333
Co-Li,Co34Li68,metallic,68,102,4,26.884999999999998,10.0,1.0,1.0819999999999999,0.1485,0.10700000000000001,2,0.39,4.204e-05,0.0001408,0.0003468,0.0004727,0.15,0.179,0.102,0.147,0.354
Bi-Li-Sn,Bi7Li84Sn14,pnictide,84,105,3,29.345,10.0,1.0,1.061,0.10500000000000001,0.087,0,1.695,4.175e-05,0.0001727,0.0004063,0.0005678,0.175,0.101,0.109,0.087,0.381
Li-Si-Zn,Li35Si56Zn14,network(B/C/Si/Ge),35,105,3,37.12,10.0,1.0,0.933,0.14500000000000002,0.122,1,1.065,4.042e-05,0.0001403,0.0002417,0.0003704,0.201,0.158,0.098,0.132,0.315
